document_id	topic_id	weight
10	86	1.1e-05
10	87	8e-06
10	88	6e-06
10	89	6e-06
10	90	5e-06
10	91	1.5e-05
10	92	9e-06
10	93	1e-05
10	94	1.5e-05
10	95	6e-06
10	96	1.2e-05
10	97	1.1e-05
10	98	6e-06
10	99	8e-06
10	100	1.2e-05
11	1	5e-06
11	2	7e-06
11	3	1e-05
11	4	1.1e-05
11	5	2e-06
11	6	1e-06
11	7	4e-06
11	8	0.016527
11	9	7e-05
11	10	5e-06
11	11	5e-06
11	12	6.8e-05
11	13	8e-06
11	14	1.4e-05
11	15	1.1e-05
11	16	9e-06
11	17	1.5e-05
11	18	2e-06
11	19	1e-05
11	20	2.2e-05
11	21	0.169191
11	22	3e-06
11	23	0.034681
11	24	1.3e-05
11	25	1.2e-05
11	26	2.3e-05
11	27	1.7e-05
11	28	2e-06
11	29	2e-06
11	30	2e-06
11	31	1.5e-05
11	32	1.1e-05
11	33	1.3e-05
11	34	6e-06
11	35	7e-06
11	36	1.2e-05
11	37	9e-06
11	38	4e-06
11	39	4e-06
11	40	5e-06
11	41	2.5e-05
11	42	1.6e-05
11	43	8e-06
11	44	0.034595
11	45	7e-06
11	46	5e-06
11	47	4e-06
11	48	3e-06
11	49	0.244265
11	50	4e-06
11	51	3e-06
11	52	6e-06
11	53	3e-06
11	54	2e-06
11	55	9e-06
11	56	6e-06
11	57	6e-06
11	58	2.9e-05
11	59	3.7e-05
11	60	1.5e-05
11	61	6e-06
11	62	3.1e-05
11	63	4e-06
11	64	2.2e-05
11	65	9e-06
11	66	4.7e-05
11	67	3e-06
11	68	2.2e-05
11	69	8e-06
11	70	1.1e-05
11	71	9e-06
11	72	1.2e-05
11	73	5e-06
11	74	0.498873
11	75	1.2e-05
11	76	5e-06
11	77	5e-06
11	78	1e-06
11	79	7e-06
11	80	6e-06
11	81	2e-06
11	82	1.6e-05
11	83	4e-06
11	84	1e-06
11	85	2e-06
11	86	1e-05
11	87	7e-06
11	88	5e-06
11	89	5e-06
11	90	4e-06
11	91	1.3e-05
11	92	8e-06
11	93	0.000872
11	94	1.3e-05
11	95	5e-06
11	96	1e-05
11	97	9e-06
11	98	5e-06
11	99	7e-06
11	100	1e-05
12	1	8e-06
12	2	1.1e-05
12	3	1.5e-05
12	4	1.7e-05
12	5	4e-06
12	6	1e-06
12	7	7e-06
12	8	0.053364
12	9	0.083258
12	10	8e-06
12	11	8e-06
12	12	0.000108
12	13	1.3e-05
12	14	2.3e-05
12	15	1.7e-05
12	16	1.4e-05
12	17	2.4e-05
12	18	3e-06
12	19	1.6e-05
12	20	3.5e-05
12	21	4e-05
12	22	5e-06
12	23	0.035688
12	24	2e-05
12	25	1.9e-05
12	26	3.6e-05
12	27	2.8e-05
12	28	3e-06
12	29	3e-06
12	30	0.2808
12	31	2.3e-05
12	32	1.7e-05
12	33	2e-05
12	34	1e-05
12	35	1.1e-05
12	36	1.9e-05
12	37	1.4e-05
12	38	6e-06
12	39	6e-06
12	40	8e-06
12	41	3.9e-05
12	42	2.6e-05
12	43	1.3e-05
12	44	0.008292
12	45	1.1e-05
12	46	8e-06
12	47	7e-06
12	48	4e-06
12	49	1.7e-05
12	50	7e-06
12	51	5e-06
12	52	9e-06
12	53	5e-06
12	54	3e-06
12	55	1.5e-05
12	56	9e-06
12	57	9e-06
12	58	4.6e-05
12	59	5.8e-05
12	60	0.039554
12	61	1e-05
12	62	0.475768
12	63	7e-06
12	64	3.5e-05
12	65	0.009556
12	66	7.4e-05
12	67	5e-06
12	68	3.6e-05
12	69	0.004102
12	70	1.7e-05
12	71	1.4e-05
12	72	1.9e-05
12	73	8e-06
12	74	1.1e-05
12	75	1.9e-05
12	76	8e-06
12	77	8e-06
12	78	2e-06
12	79	1.1e-05
12	80	1e-05
12	81	4e-06
12	82	2.6e-05
12	83	7e-06
12	84	2e-06
12	85	4e-06
12	86	1.5e-05
12	87	1.1e-05
12	88	8e-06
12	89	8e-06
12	90	7e-06
12	91	2.1e-05
12	92	1.2e-05
12	93	1.4e-05
12	94	2.1e-05
12	95	8e-06
12	96	1.6e-05
12	97	1.5e-05
12	98	8e-06
12	99	1.1e-05
12	100	0.008195
13	1	6e-06
13	2	8e-06
13	3	1.1e-05
13	4	1.2e-05
13	5	3e-06
13	6	1e-06
13	7	5e-06
13	8	0.000145
13	9	7.8e-05
13	10	6e-06
13	11	6e-06
13	12	0.164214
13	13	9e-06
13	14	1.6e-05
13	15	1.2e-05
13	16	1e-05
13	17	1.7e-05
13	18	2e-06
13	19	1.1e-05
13	20	2.5e-05
13	21	2.9e-05
13	22	4e-06
13	23	0.000177
13	24	1.4e-05
13	25	1.4e-05
13	26	2.6e-05
13	27	2e-05
13	28	2e-06
13	29	2e-06
13	30	2e-06
13	31	1.6e-05
13	32	1.2e-05
13	33	1.5e-05
13	34	7e-06
13	35	8e-06
13	36	1.4e-05
13	37	1e-05
13	38	4e-06
13	39	4e-06
13	40	5e-06
13	41	2.8e-05
13	42	1.8e-05
13	43	0.624507
13	44	8.1e-05
13	45	8e-06
13	46	5e-06
13	47	5e-06
13	48	3e-06
13	49	1.2e-05
13	50	5e-06
13	51	4e-06
13	52	7e-06
13	53	4e-06
13	54	2e-06
13	55	1e-05
